





Value And Momentum,2016-11-16,Stock(9199/LOW},-48.960016000000905,0
Value And Momentum,2016-11-16,Stock(45157951/LULU},283.21999999999935,0
Value And Momentum,2016-11-16,Stock(4627828/GS},-23.94000000000051,0
Value And Momentum,2016-11-16,Stock(109979708/TSRO},-199.91999999999825,0
Value And Momentum,2016-11-16,Stock(115324104/WDAY},167.0499600000021,0
Value And Momentum,2016-11-16,Stock(12844443/BG},205.91999999999825,0
Long Open Gap,2016-11-16,Stock(2730980/STT},60.15006000000358,0
Long Open Gap,2016-11-16,Stock(210918190/RYAAY},352.45013299999846,0
Value And Momentum,2016-11-17,Stock(273733/REGN},92.80000000000109,0
Value And Momentum,2016-11-17,Stock(79431711/VRX},804.9599999999991,0
Value And Momentum,2016-11-17,Stock(41622169/FSLR},802.1298779999979,0
Value And Momentum,2016-11-17,Stock(275405/TSN},156.21997499999998,0
Value And Momentum,2016-11-17,Stock(274027/SAFM},188.5799879999995,0
Value And Momentum,2016-11-17,Stock(76266556/SPB},-188.48999999999978,0
Value And Momentum,2016-11-17,Stock(15130038/SJM},-95.72004000000015,0
Value And Momentum,2016-11-17,Stock(86766111/ELLI},-116.07000000000153,0
Value And Momentum,2016-11-17,Stock(29718938/WCG},326.5199599999996,0
Value And Momentum,2016-11-17,Stock(13824/WMT},114.60000000000218,0
Short Open Gap,2016-11-17,Stock(7788/DEO},-15.640063999999256,0
Long Open Gap,2016-11-17,Stock(273733/REGN},-192.63999999999942,0

Long Open Gap,2016-11-18,Stock(5019164/WSM},973.7198559999997,0
Value And Momentum,2016-11-18,Stock(15468463/GOLD},75.84999999999854,0
Value And Momentum,2016-11-18,Stock(41622169/FSLR},-246.39999999999782,0
Value And Momentum,2016-11-18,Stock(53747825/SIG},125.32999999999993,0
Value And Momentum,2016-11-18,Stock(14025/FL},380.09000000000015,0
Value And Momentum,2016-11-18,Stock(126993722/GWPH},-361.5100540000003,0
Value And Momentum,2016-11-18,Stock(45157951/LULU},-419.0800679999993,0
Value And Momentum,2016-11-18,Stock(13011/TSO},-74.96007299999837,0
Value And Momentum,2016-11-18,Stock(268376/DECK},-28.210000000000946,0
Value And Momentum,2016-11-18,Stock(5019164/WSM},339.98001600000134,0
Value And Momentum,2016-11-18,Stock(13497/VLO},46.42000000000007,0

Long Open Gap,2016-11-21,Stock(269315/FISV},464.19996000000174,0
Value And Momentum,2016-11-21,Stock(117636259/YY},36.87985600000138,0
Value And Momentum,2016-11-21,Stock(273544/QCOM},88.20000000000073,0
Value And Momentum,2016-11-21,Stock(53747825/SIG},271.5,0
Value And Momentum,2016-11-21,Stock(8199/HSY},91.1200000000008,0
Value And Momentum,2016-11-21,Stock(275405/TSN},114.0,0
Value And Momentum,2016-11-21,Stock(12796138/HDB},-261.119999999999,0
Value And Momentum,2016-11-21,Stock(7740411/PKG},-41.27992699999959,0
Value And Momentum,2016-11-21,Stock(6857447/BMRN},-118.39999999999964,0
Value And Momentum,2016-11-21,Stock(274027/SAFM},50.79998400000113,0
Value And Momentum,2016-11-21,Stock(210918190/RYAAY},6.31999999999789,0
Value And Momentum,2016-11-22,Stock(12851783/ZBH},166.25,0
Value And Momentum,2016-11-22,Stock(6630/DY},278.1600000000017,0
Value And Momentum,2016-11-22,Stock(181387075/MDT},30.770000000000437,0
Value And Momentum,2016-11-22,Stock(106001565/PFPT},-32.07999600000039,0
Value And Momentum,2016-11-22,Stock(8101142/EW},-240.23999999999978,0
Value And Momentum,2016-11-22,Stock(156953397/KITE},-265.24000799999885,0
Value And Momentum,2016-11-22,Stock(11459264/ALGN},156.1999999999989,0
Value And Momentum,2016-11-22,Stock(97478493/DLPH},-4.939901999998256,0
Value And Momentum,2016-11-22,Stock(110619459/PANW},-287.3700000000008,0
Value And Momentum,2016-11-22,Stock(4728759/CTSH},172.04000000000087,0
Short Open Gap,2016-11-22,Stock(9160/LLY},226.72000800000023,0
Short Open Gap,2016-11-22,Stock(50860546/DPS},-240.23999999999978,0
Long Open Gap,2016-11-22,Stock(6477825/JACK},604.8000000000029,0
Long Open Gap,2016-11-22,Stock(4728759/CTSH},-12.0,0

Long Open Gap,2016-11-23,Stock(11517520/IBB},413.7599999999984,0
