Conid,Ticker,NAME,BOG_TH,SOG_TH,,,
6207,CMI,CUMMINS,0.036011643,-0.034591701,,,
6477855,LLL,L3 COMMUNICATIONS HDG.,0.017512654,-0.018352317,,,
268627,DHI,D R HORTON,0.050412639,-0.042462647,,,
6442,DHR,DANAHER,0.018465809,-0.017641294,,,
6497,MCO,MOODY'S,0.036085816,-0.034375147,,,
4728759,CTSH,COGNIZANT TECH.SLTN.'A',0.025923988,-0.027571429,,,
6437,TGT,TARGET,0.027,-0.024051738,,,
1311127,DO,DIAMOND OFFS.DRL.,0.03084862,-0.03208322,,,
6393,DE,DEERE,0.028185618,-0.029104712,,,
2841574,MS,MORGAN STANLEY,0.047707865,-0.048288793,,,
6478024,RSG,REPUBLIC SVS.'A',0.01913986,-0.022190083,,,
6459,DIS,WALT DISNEY,0.02082588,-0.019951599,,,
49388062,DLTR,DOLLAR TREE,0.02590606,-0.024222363,,,
6517,DOV,DOVER,0.023557737,-0.022640146,,,
6522,DOW,DOW CHEMICAL,0.026395349,-0.029216561,,,
10811,OMC,OMNICOM GROUP,0.018953237,-0.019177445,,,
6585,DTE,DTE ENERGY,0.015056497,-0.016763158,,,
6477749,FLS,FLOWSERVE,0.032,-0.034010836,,,
661440,DRI,DARDEN RESTAURANTS,0.028583783,-0.02511756,,,
4347086,EBAY,EBAY,0.026595329,-0.024285612,,,
6813,EMC,EMC,0.023360382,-0.02344222,,,
10098,BAC,BANK OF AMERICA,0.049187845,-0.050397306,,,
87335484,C,CITIGROUP,0.044677744,-0.062891984,,,
6832,EMN,EASTMAN CHEMICAL,0.0244462,-0.024825909,,,
75961319,ETFC,E*TRADE FINANCIAL,0.051592593,-0.06135778,,,
6682,ECL,ECOLAB,0.017446663,-0.01797457,,,
6737,PKI,PERKINELMER,0.021596585,-0.02408502,,,
268995,EA,ELECTRONIC ARTS,0.030207547,-0.027818182,,,
29624264,CRM,SALESFORCE.COM,0.035165361,-0.032590462,,,
6842,EMR,EMERSON ELECTRIC,0.021722371,-0.021862891,,,
