Conid,Ticker,NAME,BOG_TH,SOG_TH,Primary Exchange
5026974,AVB,AVALONBAY COMMNS.,0.036019943,-0.032467307,NYSE
3629755,URI,UNITED RENTALS,0.042191781,-0.046857143,NYSE
11020,SRE,SEMPRA EN.,0.017229099,-0.018300088,NYSE
5100583,FDX,FEDEX,0.022605003,-0.022813272,NYSE
4173050,VRSN,VERISIGN,0.030883536,-0.024449973,NASDAQ
4493,APH,AMPHENOL 'A',0.024107173,-0.023945317,NYSE
6608432,PWR,QUANTA SERVICES,0.032517375,-0.035488075,NYSE
6150,CSX,CSX,0.026840308,-0.028361702,NASDAQ
5946,COG,CABOT OIL & GAS 'A',0.03557751,-0.035986779,NYSE
5980,CPB,CAMPBELL SOUP,0.015117647,-0.014271445,NYSE
276066,STZ,CONSTELLATION BRANDS 'A',0.02349619,-0.023559175,NYSE
5407,CAH,CARDINAL HEALTH,0.018352923,-0.020530146,NYSE
5437,CAT,CATERPILLAR,0.023243366,-0.026969789,NYSE
267455,CELG,CELGENE,0.024,-0.027269461,NASDAQ
1767080,CTXS,CITRIX SYS.,0.02631848,-0.026819093,NASDAQ
6180,CTL,CENTURYLINK,0.018,-0.024821844,NYSE
267475,CERN,CERNER,0.02501833,-0.022795948,NASDAQ
1520593,JPM,JP MORGAN CHASE & CO.,0.036,-0.033670822,NYSE
5651,CHD,CHURCH & DWIGHT CO.,0.0146547,-0.015781937,NYSE
5702,CI,CIGNA,0.036903418,-0.034513705,NYSE
267661,CINF,CINCINNATI FINL.,0.027,-0.027604306,NASDAQ
268149,CTAS,CINTAS,0.021168582,-0.018253858,NASDAQ
51575076,FTR,FRONTIER COMMUNICATIONS,0.024,-0.031499331,NASDAQ
268084,CSCO,CISCO SYSTEMS,0.020932597,-0.020215623,NASDAQ
5794,CLX,CLOROX,0.014963253,-0.014482759,NYSE
8894,KO,COCA COLA,0.013530499,-0.014320143,NYSE
5749,CL,COLGATE-PALM.,0.014,-0.014340344,NYSE
9358,MAR,MARRIOTT INTL.'A',0.030384047,-0.027386093,NASDAQ
5800,CMA,COMERICA,0.043,-0.039931741,NYSE
10188791,NRG,NRG ENERGY,0.031,-0.035940935,NYSE
37875225,CA,CA,0.021114342,-0.021183797,NASDAQ
5402,CAG,CONAGRA FOODS,0.014994384,-0.016241379,NYSE
6691,ED,CONSOLIDATED EDISON,0.012628543,-0.013975803,NYSE
5840,CMS,CMS ENERGY,0.019,-0.018511156,NYSE
7655,GLW,CORNING,0.026560976,-0.028841657,NYSE
4082282,SEE,SEALED AIR,0.026,-0.02448654,NYSE
